期号,第红1个,第红2个,第红3个,第红4个,第红5个,第红6个,第绿7个
第2013-10-06(日)期,09,12,13,24,27,33,16
第2013-10-03(四)期,12,15,21,26,32,33,07
第2013-10-01(二)期,03,12,16,17,18,27,08
第2013-09-29(日)期,04,06,17,21,23,33,07
第2013-09-26(四)期,04,07,11,17,24,33,09
第2013-09-24(二)期,01,06,12,13,22,31,07
第2013-09-22(日)期,01,02,03,06,08,33,13
第2013-09-19(四)期,15,17,18,21,29,32,13
第2013-09-17(二)期,09,23,24,27,29,32,08
第2013-09-15(日)期,16,21,22,28,31,32,05
第2013-09-12(四)期,07,09,11,17,28,31,11
第2013-09-10(二)期,09,11,23,30,31,32,06
第2013-09-08(日)期,01,11,23,27,31,32,09
第2013-09-05(四)期,01,02,04,15,17,28,11
第2013-09-03(二)期,02,04,09,13,18,20,07
第2013-09-01(日)期,02,04,05,06,08,16,03
第2013-08-29(四)期,05,07,09,23,27,32,01
第2013-08-27(二)期,04,08,11,14,16,20,11
第2013-08-25(日)期,05,11,20,21,26,31,03
第2013-08-22(四)期,07,15,18,19,20,26,14
第2013-08-20(二)期,05,14,17,22,23,25,07
第2013-08-18(日)期,01,02,22,28,29,30,15
第2013-08-15(四)期,01,06,15,19,28,29,10
第2013-08-13(二)期,02,04,14,18,20,22,07
第2013-08-11(日)期,01,02,08,26,29,31,14
第2013-08-08(四)期,07,11,15,21,26,31,06
第2013-08-06(二)期,04,14,24,25,28,31,10
第2013-08-04(日)期,02,05,11,23,24,29,08
第2013-08-01(四)期,04,08,12,19,21,25,13
第2013-07-30(二)期,09,15,20,21,22,24,14
第2013-07-28(日)期,02,13,19,23,24,28,05
第2013-07-25(四)期,02,04,11,13,16,26,11
第2013-07-23(二)期,02,08,12,14,16,32,16
第2013-07-21(日)期,05,07,09,11,20,21,03
第2013-07-18(四)期,05,06,12,14,19,23,09
第2013-07-16(二)期,04,13,14,20,22,30,06
第2013-07-14(日)期,01,04,10,13,21,31,13
第2013-07-11(四)期,10,11,12,23,28,32,16
第2013-07-09(二)期,07,13,17,19,22,26,13
第2013-07-07(日)期,03,05,17,18,26,27,15
第2013-07-04(四)期,09,14,23,24,26,29,03
第2013-07-02(二)期,14,23,24,26,29,30,03
第2013-06-30(日)期,04,06,09,25,30,33,14
第2013-06-27(四)期,03,06,08,14,19,32,03
第2013-06-25(二)期,02,09,13,17,20,28,11
第2013-06-23(日)期,02,08,11,14,19,33,09
第2013-06-20(四)期,05,12,21,23,26,28,09
第2013-06-18(二)期,02,03,09,10,28,30,06
第2013-06-16(日)期,07,16,17,18,30,33,06
第2013-06-13(四)期,02,07,13,20,25,27,06
第2013-06-11(二)期,01,04,09,15,22,30,06
第2013-06-09(日)期,01,03,16,17,20,32,07
第2013-06-06(四)期,07,18,19,23,29,30,02
第2013-06-04(二)期,01,09,13,22,25,32,12
第2013-06-02(日)期,10,15,18,20,23,31,12
第2013-05-30(四)期,01,06,07,19,22,27,02
第2013-05-28(二)期,05,06,07,12,13,18,12
第2013-05-26(日)期,05,07,10,13,19,20,15
第2013-05-23(四)期,03,10,18,24,27,29,09
第2013-05-21(二)期,08,11,17,21,23,24,05
第2013-05-19(日)期,13,16,19,23,26,28,05
第2013-05-16(四)期,03,12,25,26,28,29,16
第2013-05-14(二)期,08,18,19,22,27,32,06
第2013-05-12(日)期,03,04,08,14,21,28,14
第2013-05-09(四)期,03,12,13,22,30,33,14
第2013-05-07(二)期,06,07,14,21,22,24,13
第2013-05-05(日)期,08,12,15,19,28,29,02
第2013-05-02(四)期,03,07,13,18,22,25,03
第2013-04-30(二)期,10,13,14,16,21,32,14
第2013-04-28(日)期,10,13,17,28,30,32,04
第2013-04-25(四)期,01,08,11,17,27,30,12
第2013-04-23(二)期,03,16,19,20,24,26,06
第2013-04-21(日)期,06,07,08,14,23,31,12
第2013-04-18(四)期,03,05,11,18,26,28,06
第2013-04-16(二)期,03,06,14,15,17,25,16
第2013-04-14(日)期,01,08,12,13,15,33,03
第2013-04-11(四)期,02,10,12,17,23,24,05
第2013-04-09(二)期,02,04,10,12,17,30,10
第2013-04-07(日)期,01,02,14,15,24,29,06
第2013-04-04(四)期,09,10,12,14,15,19,11
第2013-04-02(二)期,02,15,18,27,28,32,14
第2013-03-31(日)期,04,05,09,27,29,31,13
第2013-03-28(四)期,01,14,15,17,26,30,02
第2013-03-26(二)期,06,15,20,22,26,33,09
第2013-03-24(日)期,05,06,13,17,19,28,01
第2013-03-21(四)期,04,21,25,29,30,33,03
第2013-03-19(二)期,03,13,14,15,21,33,03
第2013-03-17(日)期,07,14,18,25,26,29,06
第2013-03-14(四)期,06,07,10,19,23,29,12
第2013-03-12(二)期,07,08,14,25,26,28,13
第2013-03-10(日)期,01,02,04,12,21,24,12
第2013-03-07(四)期,04,11,14,15,22,31,11
第2013-03-05(二)期,16,17,18,24,25,30,08
第2013-03-03(日)期,04,05,13,23,27,30,09
第2013-02-28(四)期,03,06,15,18,30,32,05
第2013-02-26(二)期,02,04,07,09,15,20,07
第2013-02-24(日)期,01,06,17,19,26,31,11
第2013-02-21(四)期,01,07,08,12,16,21,01
第2013-02-19(二)期,01,02,05,16,20,26,06
第2013-02-17(日)期,02,08,13,28,29,30,05
第2013-02-07(四)期,04,06,12,30,31,32,09
第2013-02-05(二)期,02,05,06,12,14,28,05
第2013-02-03(日)期,05,06,07,11,13,18,15
第2013-01-31(四)期,02,04,05,17,19,20,08
第2013-01-29(二)期,05,06,13,19,22,28,09
第2013-01-27(日)期,06,14,17,22,28,29,02
第2013-01-24(四)期,03,12,17,24,27,29,09
第2013-01-22(二)期,01,09,11,17,32,33,12
第2013-01-20(日)期,01,04,09,13,16,23,02
第2013-01-17(四)期,03,08,17,21,25,32,15
第2013-01-15(二)期,02,09,15,22,26,32,01
第2013-01-13(日)期,09,10,13,17,22,30,13
第2013-01-10(四)期,01,13,14,25,31,32,12
第2013-01-08(二)期,06,10,16,20,27,32,08
第2013-01-06(日)期,22,23,26,27,28,33,09
第2013-01-03(四)期,01,16,18,22,28,30,12
第2013-01-01(二)期,06,08,14,15,24,25,06
